name,free_bikes,empty_slots,latitude,longitude,timestamp,total_docks,occupancy_pct
"394 - Periana, 24",24,1,40.36672327,-3.6876580500000005,2026-02-20 17:14:29.073735+00:00,25,96.0
232 - José María de Pereda - Alcalá,3,24,40.4327663,-3.6486169000000004,2026-02-20 17:14:29.074767+00:00,27,11.1
90 - Metro Velázquez,7,18,40.4251493,-3.6838415999999996,2026-02-20 17:14:29.046240+00:00,25,28.0
"362 - Hilario Herranz Establos, 36",22,7,40.372839,-3.7266379999999995,2026-02-20 17:14:29.073867+00:00,29,75.9
370 - Avefría - Plaza de Tarifa,4,18,40.38386939,-3.7308024999999994,2026-02-20 17:14:29.074011+00:00,22,18.2
"382 -Parque Eugenia de Montijo, 2",3,21,40.3783501,-3.7545821999999998,2026-02-20 17:14:29.046013+00:00,24,12.5
201 - Metro Canal,10,12,40.4386944,-3.7038332999999994,2026-02-20 17:14:29.074345+00:00,22,45.5
546 - Andorra - Canillas,6,17,40.4628976,-3.6467519000000004,2026-02-20 17:14:29.045815+00:00,23,26.1
329 - Metro Laguna,1,22,40.3988162,-3.7444520800000003,2026-02-20 17:14:29.074556+00:00,23,4.3
"505 - Castillo de Uclés, 37",9,15,40.4315255,-3.62306578,2026-02-20 17:14:29.073781+00:00,24,37.5
45 - Metro Puerta de Toledo,2,14,40.4068659,-3.7111033999999994,2026-02-20 17:14:29.046152+00:00,16,12.5
599 - Instalación Deportiva La Cabrera,7,20,40.47223267,-3.7192044300000004,2026-02-20 17:14:29.074105+00:00,27,25.9
"457 - Hacienda de Pavones, 148",1,22,40.4026,-3.6419,2026-02-20 17:14:29.073552+00:00,23,4.3
527 - Velacho Alto - Trinquete,11,12,40.47250314,-3.6592688399999997,2026-02-20 17:14:29.073747+00:00,23,47.8
65 - Parque del Retiro - Calle Antonio Maura,24,1,40.4167014469994,-3.6894247979427686,2026-02-20 17:14:29.074468+00:00,25,96.0
"500 - Aracne, 17",12,15,40.445,-3.5895,2026-02-20 17:14:29.074377+00:00,27,44.4
244 - Hospital Clínico San Carlos,0,23,40.44003,-3.71757,2026-02-20 17:14:29.073366+00:00,23,0.0
316 - C. Deportivo Mpal. Ciudad De Los Poetas,3,15,40.46439687,-3.71995383,2026-02-20 17:14:29.074447+00:00,18,16.7
326 - Metro Alto de Extremadura,1,23,40.40937950320982,-3.739615781020349,2026-02-20 17:14:29.074599+00:00,24,4.2
"519 - Troya, 11",4,20,40.43699597,-3.61191521,2026-02-20 17:14:29.074059+00:00,24,16.7
196 - Metro Prosperidad,12,14,40.4442237,-3.6752218,2026-02-20 17:14:29.073229+00:00,26,46.2
154 - Orense 36,2,22,40.4548456,-3.6946218,2026-02-20 17:14:29.073079+00:00,24,8.3
334 - Metro Campamento,5,18,40.39497294,-3.76815631,2026-02-20 17:14:29.074052+00:00,23,21.7
441 - Estación de tren de Santa Eugenia,5,18,40.38600753,-3.6094815299999996,2026-02-20 17:14:29.073855+00:00,23,21.7
78 - Metro Pacífico,27,0,40.40063747422422,-3.674524060049444,2026-02-20 17:14:29.074395+00:00,27,100.0
544 - Gregorio Sánchez Herráez 14,10,13,40.477248,-3.6365700000000003,2026-02-20 17:14:29.045867+00:00,23,43.5
"424 - Camino de Valderribas, 47",24,4,40.4002231,-3.663958,2026-02-20 17:14:29.073631+00:00,28,85.7
571 - Melchor Fernández Almagro - Plaza Tuy,5,18,40.4756475,-3.710326199999999,2026-02-20 17:14:29.073592+00:00,23,21.7
621 - Calle Montiel 27,0,23,40.381382,-3.672609,2026-02-20 17:14:29.045860+00:00,23,0.0
625 - Avenida de Miguel Delibes 49,13,7,40.405505,-3.560344,2026-02-20 17:14:29.045760+00:00,20,65.0
348 - José de Cadalso - Rafael Finat,9,18,40.37959145,-3.7702477799999996,2026-02-20 17:14:29.074585+00:00,27,33.3
525 - Metro Manoteras,5,19,40.47675499,-3.6626902900000005,2026-02-20 17:14:29.073668+00:00,24,20.8
613 - Facultad de informática,6,16,40.453109,-3.7348129999999995,2026-02-20 17:14:29.045764+00:00,22,27.3
289 - Luis de Salazar - Padre Claret,21,4,40.4474166,-3.6649258000000002,2026-02-20 17:14:29.074412+00:00,25,84.0
27 - Huertas,5,22,40.4133,-3.6957000000000004,2026-02-20 17:14:29.046347+00:00,27,18.5
224 - Parque de Caramuel,25,2,40.409,-3.7287000000000003,2026-02-20 17:14:29.073313+00:00,27,92.6
620 - Calle Cazorla 79,13,10,40.376297,-3.6658859999999995,2026-02-20 17:14:29.074506+00:00,23,56.5
213 - Glorieta de Cádiz,16,7,40.3889918,-3.7002247,2026-02-20 17:14:29.073274+00:00,23,69.6
361 - Metro Pan Bendito,1,21,40.37734672,-3.73266666,2026-02-20 17:14:29.073851+00:00,22,4.5
341 - Escalona - Seseña,7,19,40.39834576,-3.76182259,2026-02-20 17:14:29.074719+00:00,26,26.9
408 - Metro San Cristóbal,7,16,40.341725,-3.692444,2026-02-20 17:14:29.074142+00:00,23,30.4
630 - Calle de Febrero 4,18,4,40.446868,-3.573031,2026-02-20 17:14:29.045854+00:00,22,81.8
579 - Maria Tubau - Isabel Colbrand,0,23,40.51399230680476,-3.671703587033564,2026-02-20 17:14:29.074679+00:00,23,0.0
596 - Metro Lacoma,15,9,40.4855158,-3.7228461000000004,2026-02-20 17:14:29.074794+00:00,24,62.5
195 - Indalecio Hernández - Mataelpino,7,16,40.4392222,-3.6754444,2026-02-20 17:14:29.073224+00:00,23,30.4
552 - Ana de Austria - Ignacio Aldecoa,1,25,40.4994394,-3.6531502,2026-02-20 17:14:29.045873+00:00,26,3.8
567 - Plaza Mayor de Barajas,17,7,40.4733252,-3.5776537,2026-02-20 17:14:29.045951+00:00,24,70.8
99 - Alcántara - Hermosilla,5,17,40.4260391,-3.6740178,2026-02-20 17:14:29.046260+00:00,22,22.7
2 - Metro Callao,6,20,40.4204,-3.7056899999999997,2026-02-20 17:14:29.046289+00:00,26,23.1
520 - Niza - Plaza de Grecia,9,14,40.4342806,-3.6081157800000003,2026-02-20 17:14:29.046108+00:00,23,39.1
540 - Estación de tren Fuente de la Mora,9,14,40.4845596,-3.6636484,2026-02-20 17:14:29.074087+00:00,23,39.1
"199 - Fernando el Católico, 61",27,0,40.4343611,-3.7149166,2026-02-20 17:14:29.073240+00:00,27,100.0
480 - Vicente Muzas - Arturo Soria,7,15,40.45903315,-3.6604425500000004,2026-02-20 17:14:29.074438+00:00,22,31.8
339 - Estación de tren Las Águilas,3,20,40.38132642,-3.78061952,2026-02-20 17:14:29.074240+00:00,23,13.0
160 - Metro Colombia,14,8,40.4572466,-3.6763439,2026-02-20 17:14:29.073096+00:00,22,63.6
"545 - Zapatoca, 8",12,9,40.47285235,-3.63335803,2026-02-20 17:14:29.045948+00:00,21,57.1
207 - Plaza de la Remonta,12,7,40.4630443,-3.6973352000000004,2026-02-20 17:14:29.074252+00:00,19,63.2
260 - Ciudad Universitaria - Fac. de Biología,3,21,40.4483322,-3.7272945,2026-02-20 17:14:29.074797+00:00,24,12.5
234 - Metro La Elipa,1,22,40.4261278,-3.6510917000000003,2026-02-20 17:14:29.074540+00:00,23,4.3
182 - Parque Roma,10,12,40.4186666,-3.6657776999999996,2026-02-20 17:14:29.073178+00:00,22,45.5
270 - Teresa L. Valcárcel - Tte. Cnel. Noreña,15,9,40.38862908,-3.69328771,2026-02-20 17:14:29.074773+00:00,24,62.5
461 - Plaza Corregidor Ldo. Antonio de Mena,2,20,40.4099,-3.6408,2026-02-20 17:14:29.073692+00:00,22,9.1
239 - Francos Rodríguez - José Calvo,7,15,40.4567132,-3.7078331000000007,2026-02-20 17:14:29.073346+00:00,22,31.8
347 - Est. tren Mtra Justa Freire-Poli Aluche,18,4,40.383554,-3.7686029999999997,2026-02-20 17:14:29.074569+00:00,22,81.8
92 - Claudio Coello - Hermosilla,16,6,40.4262945,-3.6865463,2026-02-20 17:14:29.046246+00:00,22,72.7
"327 - El Greco, 27 - C. Cultural El Greco",9,15,40.40741199,-3.7472615299999994,2026-02-20 17:14:29.073680+00:00,24,37.5
263 - Gran Vía de San Francisco,7,17,40.40833880815136,-3.712793282384579,2026-02-20 17:14:29.045905+00:00,24,29.2
627 - Alcalde Andrés Madrid Dávila 92,13,10,40.398303,-3.548534,2026-02-20 17:14:29.045752+00:00,23,56.5
191 - Metro Diego de León,2,17,40.434569387142616,-3.6740777840614403,2026-02-20 17:14:29.074636+00:00,19,10.5
282 - Parque Retiro - Puerta Reina Mercedes,2,20,40.4181327,-3.6787796,2026-02-20 17:14:29.045902+00:00,22,9.1
426 - Humanes - Benjamín Palencia,12,11,40.3952121,-3.64932678,2026-02-20 17:14:29.073639+00:00,23,52.2
"304 - Valle de Mena, 5",5,17,40.46962735,-3.7152724500000005,2026-02-20 17:14:29.073596+00:00,22,22.7
157 - Plaza de Cuzco,16,7,40.4591366,-3.6894151,2026-02-20 17:14:29.074268+00:00,23,69.6
271 - Amaltea-Meneses,15,10,40.394706,-3.68317,2026-02-20 17:14:29.046037+00:00,25,60.0
95 - Claudio Coello - Villanueva,2,22,40.4225428,-3.6869293000000005,2026-02-20 17:14:29.046250+00:00,24,8.3
246 - Metro Iglesia,4,22,40.43595788149785,-3.699248472404664,2026-02-20 17:14:29.073374+00:00,26,15.4
364 - Metro Opañel,0,23,40.38550735,-3.7237806400000006,2026-02-20 17:14:29.073946+00:00,23,0.0
611 - María de las Mercedes de Borbón A,18,5,40.490908297996654,-3.6121068531215528,2026-02-20 17:14:29.045847+00:00,23,78.3
601 - Estación de tren de Fuencarral,1,22,40.5015588,-3.6824686999999994,2026-02-20 17:14:29.045825+00:00,23,4.3
464 - Univ. Rey Juan Carlos - Campus Madrid,4,18,40.40634029,-3.61283416,2026-02-20 17:14:29.073793+00:00,22,18.2
482 - Metro Pueblo Nuevo,5,18,40.4356873,-3.6423386,2026-02-20 17:14:29.074544+00:00,23,21.7
194 - Intercambiador de Avenida de América,6,16,40.4372638,-3.6771534999999997,2026-02-20 17:14:29.073220+00:00,22,27.3
351 - Comandante Fontanes - General Ricardos,18,5,40.3951415,-3.7211209,2026-02-20 17:14:29.074560+00:00,23,78.3
32 - Plaza de la Provincia,2,21,40.41466783910054,-3.7066362890417137,2026-02-20 17:14:29.074355+00:00,23,8.7
87 - Ayala - Velázquez,4,18,40.427736,-3.6832565999999995,2026-02-20 17:14:29.046230+00:00,22,18.2
211 - Desengaño - Valverde,0,22,40.42059,-3.70239,2026-02-20 17:14:29.073269+00:00,22,0.0
622 - Calle Sierra de Albarracin 2,8,15,40.386022,-3.671961,2026-02-20 17:14:29.045864+00:00,23,34.8
468 - Caños de San Pedro - San Cipriano,0,23,40.403472,-3.6019220000000005,2026-02-20 17:14:29.045930+00:00,23,0.0
308 - María Auxiliadora - Francos Rodríguez,12,12,40.45772941,-3.7134614699999995,2026-02-20 17:14:29.073821+00:00,24,50.0
